query_keyword,query_city,id,name,type,typecode,address,location,pname,cityname,adname,adcode,gridcode,tel
工厂,上海,B0M6HA90GG,上海市白鹤数智草莓植物工厂,公司企业;农林牧渔基地;其它农林牧渔基地,170400,新胜路与曙光路交叉向西 50 米,"121.100475,31.250125",上海市,上海市,青浦区,,,
工厂,上海,B0LUPS1ZRQ,沙盘模型工厂,公司企业;工厂;工厂,170300,汇德路600号,"121.169660,31.389192",上海市,上海市,嘉定区,,,15201991303
工厂,上海,B0LGLROWBN,上海木木与川全屋定制工厂,公司企业;工厂;工厂,170300,外岗镇汇德路600号,"121.170486,31.388868",上海市,上海市,嘉定区,,,17717670609
工厂,上海,B0L2ZC45P0,贝克斯特家居工厂店,购物服务;家居建材市场;家居建材市场,060600,汇德路600号,"121.170771,31.389201",上海市,上海市,嘉定区,,,18616778985
工厂,上海,B0L1JU8J8J,多摩仕定制家居工厂,公司企业;工厂;工厂,170300,汇旺路1930号,"121.172649,31.383276",上海市,上海市,嘉定区,,,
工厂,上海,B0LU2UWGA3,卓尔格家居工厂,公司企业;公司;公司,170200,外冈镇汇旺路1930号5号厂房,"121.172818,31.383131",上海市,上海市,嘉定区,,,
工厂,上海,B0LKJH1HIY,青浦门窗工厂店,购物服务;家居建材市场;建材五金市场,060603,宝庆街111号,"121.113377,31.142969",上海市,上海市,青浦区,,,18205190530
工厂,上海,B0LAPAIVAZ,上海穹宇饰全铝家居定制工厂,公司企业;工厂;工厂,170300,安亭镇园区路1168号,"121.189394,31.316691",上海市,上海市,嘉定区,,,18702140538
工厂,上海,B0LDYSVQ1W,超帅创联工厂,公司企业;工厂;工厂,170300,嘉行公路3029号,"121.242570,31.458022",上海市,上海市,嘉定区,,,13816401697
工厂,上海,B0LUAUO361,宏盛·NORCENT全屋定制生产源头超级工厂,公司企业;公司;公司,170200,园大路9号宏盛独立园区,"121.196225,31.307625",上海市,上海市,嘉定区,,,
工厂,上海,B0L12STQD2,智工厂云仓(上海仓),公司企业;公司;公司,170200,枫展路1111号万纬物流园,"121.051028,30.881722",上海市,上海市,金山区,,,13162677589
工厂,上海,B0M6BSGU0A,已隆全屋定制工厂,公司企业;工厂;工厂,170300,华博路500号,"121.263011,31.456682",上海市,上海市,嘉定区,,,15856611665
工厂,上海,B0L2OAVRUW,上海青泰铝方通工厂,公司企业;工厂;工厂,170300,崧泽大道6666弄11号1层102室,"121.174681,31.177760",上海市,上海市,青浦区,,,15821482111
工厂,上海,B0L15Z0FJ0,克诺诗家具梦工厂,公司企业;工厂;工厂,170300,华丹路860号,"121.204295,31.238800",上海市,上海市,青浦区,,,15801912145
工厂,上海,B0L35ND25S,豆腐工厂,公司企业;公司企业;公司企业,170000,纪鹤公路与新协路交叉口西北60米,"121.208625,31.247525",上海市,上海市,青浦区,,,
工厂,上海,B0LA4CAPTD,系统门窗定制源头工厂直销,购物服务;家居建材市场;建材五金市场,060603,徐行镇新建二路18号,"121.272923,31.415565",上海市,上海市,嘉定区,,,15000507736
工厂,上海,B0LGUY9I40,上海安美伦全铝定制工厂,购物服务;家居建材市场;家居建材市场,060600,崧秀路与赵巷村路交叉口西南20米,"121.189425,31.154375",上海市,上海市,青浦区,,,15618466006
工厂,上海,B0LRO5WC67,轩谨门窗工厂,生活服务;生活服务场所;生活服务场所,070000,宝安公路3718号2楼232,"121.268163,31.326946",上海市,上海市,嘉定区,,,15801951262
工厂,上海,B0LD2MPIEL,铝材工厂,公司企业;工厂;工厂,170300,上海市嘉定区马陆镇尚学路400号,"121.298661,31.352576",上海市,上海市,嘉定区,,,15001776087
工厂,上海,B0L3VUJ3YF,欧派木门工厂店,购物服务;家居建材市场;建材五金市场,060603,江桥镇曹丰路666号,"121.271380,31.270921",上海市,上海市,嘉定区,,,
工厂,上海,B0LUBOGHBE,力同集团工厂店(秋湾路店),公司企业;公司企业;公司企业,170000,朱泾镇秋湾路4858弄6号二楼1区,"121.133368,30.890342",上海市,上海市,金山区,,,
工厂,上海,B0LG97XW0M,上海揽瑟制作工厂,公司企业;工厂;工厂,170300,和周路与胜竹东路交叉口南100米,"121.334175,31.426625",上海市,上海市,嘉定区,,,
工厂,上海,B0LBPU0DLI,全屋定制家具工厂,公司企业;工厂;工厂,170300,马陆镇敬学路169号,"121.306675,31.335525",上海市,上海市,嘉定区,,,13918864874;15000924063
工厂,上海,B0L13Z63X1,贤米玻璃隔断工厂,公司企业;公司企业;公司企业,170000,罗太路591号,"121.339469,31.418266",上海市,上海市,宝山区,,,18930710572
工厂,上海,B0L6TZ72Y0,西门子工厂自动化工程有限公司,公司企业;公司;公司,170200,马陆镇宝安公路2601号(上海希望智能制造产业园)9幢,"121.319873,31.345010",上海市,上海市,嘉定区,,,021-25057600
工厂,上海,B0LAFCZDVE,上海旭博特系统门窗源头工厂(中国总部),公司企业;工厂;工厂,170300,八秀西路1号,"121.201083,30.994861",上海市,上海市,松江区,,,13636325987
工厂,上海,B0LBXCJR2T,上海朴沐PUMU全屋定制工厂,公司企业;工厂;工厂,170300,洞泾镇洞厍路501号A栋2楼,"121.252817,31.088222",上海市,上海市,松江区,,,13040611025
