poi_id,name,address,lon,lat,raw_keyword,raw_type,source,status,category,classification_reason
P00001,上海市白鹤数智草莓植物工厂,新胜路与曙光路交叉向西 50 米,121.100475,31.250125,工厂,公司企业;农林牧渔基地;其它农林牧渔基地,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00002,沙盘模型工厂,汇德路600号,121.16966,31.389192,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00003,上海木木与川全屋定制工厂,外岗镇汇德路600号,121.170486,31.388868,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00004,贝克斯特家居工厂店,汇德路600号,121.170771,31.389201,工厂,购物服务;家居建材市场;家居建材市场,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00005,多摩仕定制家居工厂,汇旺路1930号,121.172649,31.383276,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00006,卓尔格家居工厂,外冈镇汇旺路1930号5号厂房,121.172818,31.383131,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00007,青浦门窗工厂店,宝庆街111号,121.113377,31.142969,工厂,购物服务;家居建材市场;建材五金市场,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00008,上海穹宇饰全铝家居定制工厂,安亭镇园区路1168号,121.189394,31.316691,工厂,公司企业;工厂;工厂,amap,kept,industrial_space,命中产业/园区关键词「园区」
P00009,超帅创联工厂,嘉行公路3029号,121.24257,31.458022,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00010,宏盛·NORCENT全屋定制生产源头超级工厂,园大路9号宏盛独立园区,121.196225,31.307625,工厂,公司企业;公司;公司,amap,kept,urban_production,命中城市型生产关键词「定制生产」
P00011,智工厂云仓(上海仓),枫展路1111号万纬物流园,121.051028,30.881722,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00012,已隆全屋定制工厂,华博路500号,121.263011,31.456682,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00013,上海青泰铝方通工厂,崧泽大道6666弄11号1层102室,121.174681,31.17776,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00014,克诺诗家具梦工厂,华丹路860号,121.204295,31.2388,工厂,公司企业;工厂;工厂,amap,kept,ambiguous,命中模糊命名「梦工厂」(可能为园区或商业命名，需人工核验)
P00015,豆腐工厂,纪鹤公路与新协路交叉口西北60米,121.208625,31.247525,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00016,系统门窗定制源头工厂直销,徐行镇新建二路18号,121.272923,31.415565,工厂,购物服务;家居建材市场;建材五金市场,amap,kept,traditional_factory,命中传统制造关键词「五金」
P00017,上海安美伦全铝定制工厂,崧秀路与赵巷村路交叉口西南20米,121.189425,31.154375,工厂,购物服务;家居建材市场;家居建材市场,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00018,轩谨门窗工厂,宝安公路3718号2楼232,121.268163,31.326946,工厂,生活服务;生活服务场所;生活服务场所,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00019,铝材工厂,上海市嘉定区马陆镇尚学路400号,121.298661,31.352576,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00020,欧派木门工厂店,江桥镇曹丰路666号,121.27138,31.270921,工厂,购物服务;家居建材市场;建材五金市场,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00021,力同集团工厂店(秋湾路店),朱泾镇秋湾路4858弄6号二楼1区,121.133368,30.890342,工厂,公司企业;公司企业;公司企业,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00022,上海揽瑟制作工厂,和周路与胜竹东路交叉口南100米,121.334175,31.426625,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00023,全屋定制家具工厂,马陆镇敬学路169号,121.306675,31.335525,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00024,贤米玻璃隔断工厂,罗太路591号,121.339469,31.418266,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00025,西门子工厂自动化工程有限公司,马陆镇宝安公路2601号(上海希望智能制造产业园)9幢,121.319873,31.34501,工厂,公司企业;公司;公司,amap,kept,industrial_space,命中产业/园区关键词「产业园」
P00026,上海旭博特系统门窗源头工厂(中国总部),八秀西路1号,121.201083,30.994861,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00027,上海朴沐PUMU全屋定制工厂,洞泾镇洞厍路501号A栋2楼,121.252817,31.088222,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00028,上海天之蓝水晶标工厂,宝祁路855号,121.338772,31.300432,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00029,悍马培育钻工厂,园庆路268号旭辉in,121.348525,31.313225,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00030,西格玛艺术漆工厂展厅(上海服务中心),茸阳路69号2号楼113号,121.251695,31.04736,工厂,购物服务;家居建材市场;建材五金市场,amap,kept,traditional_factory,命中传统制造关键词「五金」
P00031,万福窗帘·源头工厂,洞泾镇同乐路387号106,121.269638,31.090845,工厂,生活服务;生活服务场所;生活服务场所,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00032,小王水果超级工厂,北翟路辅路与东华美路交叉口北340米,121.330525,31.226325,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00033,上海超级伸缩雨棚工厂,佳龙路290号,121.388114,31.342005,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00034,凯辉地毯工厂仓库,涞亭北路451号16幢102甲,121.324886,31.152731,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00035,富豫移门淋浴房工厂,富联一路19号3号库,121.415259,31.369676,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00036,康杰特(上海)七零一氧舱工厂展示中心,九亭镇伴亭路228号4幢1层102-3室,121.330475,31.138075,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00037,硅钢第三智慧工厂,,121.447739,31.410763,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00038,思卡诺工厂店(闵行总仓),友东路237号,121.354075,31.124625,工厂,公司企业;公司;公司,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00039,上海杜邦可丽耐工厂店,松闵路500号1幢1层,121.320816,31.029455,工厂,公司企业;公司企业;公司企业,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00040,上海亚太系统门窗工厂馆,干林路2188号幸福纺织厂内,121.255744,30.826812,工厂,购物服务;家居建材市场;建材五金市场,amap,kept,traditional_factory,命中传统制造关键词「纺织厂」
P00041,上海肇民二工厂,秦弯路与钱商大街交叉口东南140米,121.258675,30.778725,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00042,牧尚门窗工厂直营旗舰店(澳门路月星家居),澳门路168号月星家居B001,121.445627,31.247392,工厂,购物服务;购物相关场所;购物相关场所,amap,filtered_false_positive,filtered,命中误判关键词「旗舰店」(疑似消费/零售场所，非生产活动)
P00043,上海恒泰通风管工厂,长兴公路58号,121.334536,30.942227,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00044,麦熙广告工厂,罗锦路83号-1号,121.418819,31.123601,工厂,公司企业;公司;广告装饰,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00045,雷克萨斯金山工厂,天工路与亭卫公路交叉口东400米,121.353917,30.827411,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00046,温氏工厂直销中心,北泰路与学府路交叉口西南220米,121.320012,30.729517,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00047,上海电气电站设备有限公司汽轮机厂(帝景园西),江川路333号,121.418941,30.998397,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00048,间质工厂INTERSTITIAL WORKS,龙吴路4221号碳素厂7号路,121.454881,31.087675,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00049,袁梦家具高端定制工厂,南阳港西路886号8栋,121.341824,30.767978,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00050,美标工厂,西渡沿江路与西闸公路交叉口西北220米,121.436924,30.998793,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00051,执纫品牌工厂店,卫零路88号-86号,121.339543,30.714366,工厂,公司企业;公司;公司,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00052,信广包装(上海)有限公司奉贤工厂,亿松路与扶港路交叉口东300米,121.450225,30.979775,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「包装」
P00053,美亿门窗工厂店(浦东基地),懿德路379号,121.517666,31.117903,工厂,公司企业;公司;公司,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00054,垫家汽车脚垫工厂店(上海店),航南公路6218号,121.449334,30.927479,工厂,公司企业;公司;公司,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00055,易格斯新工厂项目部,远东路1600号,121.462675,30.948325,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00056,富贵花门窗工厂直营店,浦星公路1969号4楼D8088,121.510425,31.076575,工厂,购物服务;家居建材市场;建材五金市场,amap,kept,traditional_factory,命中传统制造关键词「五金」
P00057,名豪沙发翻新工厂,南桥镇航南公路5639号5699号(靠近环城东路口)奉贤宝龙广场,121.462422,30.930037,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00058,海螺系统门窗工厂直营店(环城南路店),环城南路291号,121.470723,30.906204,工厂,购物服务;家居建材市场;建材五金市场,amap,kept,traditional_factory,命中传统制造关键词「五金」
P00059,上海京瓷电子公司金桥工厂,金桥镇新金桥路2077号,121.628402,31.259329,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00060,中建三局金桥海阳工厂二期项目部,唐陆公路143号,121.626253,31.253418,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00061,海阳工厂,金闽路与鲁桥路交叉口东南80米,121.627475,31.254825,工厂,公司企业;公司;公司|公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00062,柏逸轩原木全屋定制家具工厂,文耀路与文雅路交叉口东100米,121.503425,30.911475,工厂,购物服务;家居建材市场;家居建材市场,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00063,上海宇巨展览工厂,沿浦公路2500号,121.541477,30.978696,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00064,上海卓龙团餐中央工厂,康桥镇新苗村1000号A幢1层,121.637366,31.128133,工厂,公司企业;工厂;工厂,amap,kept,food_city_production,命中食品生产关键词「中央工厂」
P00065,施迪克展览工厂,光善路与恒泰路交叉口西北100米,121.582322,30.979087,工厂,科教文化服务;传媒机构;传媒机构,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00066,上海(帝诚)展览工厂,七号路与六号路交叉口西南380米,121.539098,30.843557,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00067,栢莉德淋浴房工厂,沪南公路6938号,121.624175,31.025026,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00068,上海奥莱屋全屋定制工厂,南奉公路1529号4号楼2楼,121.607664,30.919337,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00069,云昊木华定制工厂,航塘公路4677号,121.610897,30.910121,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00070,上海吉思特全屋定制工厂,新奉公路3535号,121.644857,30.966324,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00071,凤铝门窗工厂直营店,新奉公路4841号,121.645698,30.943207,工厂,购物服务;家居建材市场;建材五金市场,amap,kept,traditional_factory,命中传统制造关键词「五金」
P00072,画宝刚烧鸡上海工厂,宣秋路与宣竹路交叉口西180米,121.713325,31.089275,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00073,福庆全屋定制工厂,大叶公路8169号,121.679638,30.986092,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00074,上海裳界服饰西装定制工厂,四海时装有限公司对面57号,121.724486,30.942032,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00075,5号工厂,永春东路30弄28号,121.745977,30.973935,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00076,木易托盘工厂店,海旗路与港鼎路交叉口西160米,121.747875,30.895325,工厂,公司企业;工厂;工厂,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00077,马氏家具工厂,欢民路518家具工厂,121.750499,31.021756,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00078,长三角砂粉超级工厂,新浜镇林天路218号松江物流产业园,121.083535,30.943236,工厂,公司企业;工厂;工厂,amap,kept,industrial_space,命中产业/园区关键词「产业园」
P00079,上海九駲铝业全铝定制工厂,嘉定嘉秀路88号,121.283417,31.312797,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00080,特斯拉储能超级工厂上海宝冶项目部,芦五公路2751号,121.773149,30.861983,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00081,萝卜工厂,东方路800号宝安大厦F4层,121.524046,31.226341,工厂,公司企业;农林牧渔基地;其它农林牧渔基地,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00082,泰东机械4工厂,新润路588号甘氏工业园西北门3号库,121.292214,31.06201,工厂,公司企业;工厂;工厂,amap,kept,industrial_space,命中产业/园区关键词「工业园」
P00083,新泉(上海)汽车零部件有限公司-二期工厂,正嘉路97号,121.767523,30.858779,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00084,棉益屋工厂店,江场三路215号5楼,121.438269,31.294705,工厂,公司企业;公司;公司,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00085,维盾门窗(上海总部)工厂,华腾路1669号1栋,121.210464,31.234169,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00086,大连实德集团(实德系统门窗)工厂直营,沪太公路6285号5号楼,121.362679,31.378752,工厂,购物服务;家居建材市场;家居建材市场,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00087,自然堂发酵工厂,远东路1515弄20号2幢厂房,121.463171,30.950398,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00088,卡贝迪移门工厂店,崧复路1590号,121.166649,31.172189,工厂,购物服务;家居建材市场;建材五金市场,amap,filtered_false_positive,filtered,命中误判关键词「工厂店」(疑似消费/零售场所，非生产活动)
P00089,上海策雨充气帐篷工厂,港鼎路1688号,121.747225,30.912075,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00090,特斯拉储能超级工厂,沧海路3888号,121.772366,30.859712,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00091,上海金发科技发展有限公司二期工厂,沈砖公路999号,121.065187,31.079185,工厂,公司企业;公司;网络科技,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00092,上海林众电子科技有限公司,香闵路1188弄1-4号,121.294307,31.006922,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00093,上海哈尔滨食品厂(新世界城店),南京西路2号新世界城B1层,121.474125,31.234801,工厂,餐饮服务;餐饮相关场所;餐饮相关,amap,kept,food_city_production,命中食品生产关键词「食品厂」
P00094,顺络(上海)电子有限公司,书海路618号,121.323846,31.031956,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00095,中航无线电电子技术有限公司,吴泾镇紫月路432号,121.459849,31.020621,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00096,爱舒家居工厂旗舰店,善乐路255号,121.585717,30.973607,工厂,公司企业;公司;公司,amap,filtered_false_positive,filtered,命中误判关键词「旗舰店」(疑似消费/零售场所，非生产活动)
P00097,新泉(上海)汽车零部件有限公司-一期工厂,平岚路258号,121.764489,30.870471,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00098,上海季丰电子股份有限公司(总部),友东路288号,121.354917,31.124792,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00099,上海海拉电子有限公司,创业路358号,121.688953,31.212758,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00100,思特威(上海)电子科技股份有限公司,田林路889号科技绿洲四期8号楼,121.391708,31.164074,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00101,萨震压缩机,金流路188号,121.338365,30.801108,工厂,公司企业;公司;公司|公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00102,上海海立电器有限公司,金桥镇宁桥路888号,121.621271,31.251844,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00103,上海丸旭电子科技有限公司(168智能制造基地),安亭镇园耀路168号,121.19887,31.324153,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「制造」
P00104,宜侬,金汇镇光泰路889号,121.606477,30.979681,工厂,公司企业;公司;公司|公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00105,上海泰好电子科技有限公司,祝桥镇金亮路83号2号楼,121.782028,31.105333,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00106,上海爱谱华顿电子科技(集团)有限公司,航头镇沪南路4888号,121.586349,31.063333,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00107,上海新康电子有限公司(永靖路),永靖路1258号,121.259265,31.412497,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00108,上海金榕车饰实业发展有限公司(宝安分厂),顾村镇宝安公路2395弄50号,121.334948,31.348119,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00109,上海海立电器有限公司,金苏路77号,121.632427,31.259374,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00110,上海华力集成电路制造有限公司,航头镇古博路100号,121.617772,31.077723,工厂,公司企业;公司企业;公司企业,amap,kept,traditional_factory,命中传统制造关键词「制造」
P00111,天马微电子有限公司,汇庆路889号,121.711429,31.239213,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00112,上海实业交通电器有限公司电器制造厂,华新镇纪鹤公路2438号,121.224771,31.247279,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「制造厂」
P00113,沪东船厂,长兴镇,121.772977,31.317813,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00114,金桥凯迪拉克新工厂,金穗路567号,121.635514,31.284525,工厂,汽车销售;汽车销售;汽车销售,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00115,希革斯电子上海有限公司,马陆镇兴平路415号,121.29098,31.370232,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00116,上海汉钟精机股份有限公司,建贡路108号,121.080331,30.863956,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00117,上海中航光电子有限公司,莘庄工业区华宁路3388号,121.371842,31.056063,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00118,上海家化联合股份有限公司,北盈路2058号,121.08178,31.182148,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00119,东电电子(上海)有限公司,高斯路555号,121.608618,31.207924,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00120,上海盛通时代包装科技有限公司,金水路268号,121.324788,30.801278,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「包装」
P00121,双立人工厂,浦江工业区昌林路679号(沈杜公路地铁站出口步行380米),121.513067,31.063407,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00122,库博标准(上海青浦工厂),外青松公路4600号(近天辰路),121.119423,31.201735,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00123,上海人民电器厂(共和新路),大宁路街道共和新路3015号北门,121.451538,31.290829,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00124,天马微电子股份有限公司,汇庆路888号,121.710953,31.23814,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00125,上海鹰峰电子科技有限公司,石湖荡镇唐明路258号,121.192472,30.97346,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00126,上海扬盛印务有限公司,文松路555号,121.153932,31.0266,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00127,上海合璧电子元件有限公司,安晓路318号,121.235567,31.316099,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00128,上海机车检修段,陇南路1588号,121.305586,31.279458,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00129,上海电气电力电子有限公司(富桥路),富桥路66号,121.406473,31.375614,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00130,上海莫仕连接器有限公司,外高桥保税区英伦路889号莫士电子厂,121.620826,31.310705,工厂,公司企业;公司;公司,amap,kept,traditional_factory,命中传统制造关键词「电子厂」
P00131,光明乳业股份有限公司华东中心工厂,马桥镇紫东路489号,121.34784,31.010921,工厂,公司企业;工厂;工厂,amap,kept,traditional_factory,命中传统制造关键词「工厂」
P00132,威图电子机械技术上海有限公司,民益路1658号,121.284843,31.042938,工厂,公司企业;公司;机械电子,amap,kept,traditional_factory,命中传统制造关键词「工厂」
