name,address,lon,lat,raw_keyword,raw_type,source,poi_id,category,classification_reason,is_urban_production,is_traditional_factory,is_industrial_space,distance_to_people_square_km,center_zone,is_inner_center,distance_to_central_core_km,distance_to_xujiahui_km,distance_to_wujiaochang_km,distance_to_zhangjiang_km,distance_to_hongqiao_km,distance_to_qiantan_km,nearest_center,nearest_center_label_zh,distance_to_nearest_center_km,nearest_center_zone,polycentric_centrality_score
上海市白鹤数智草莓植物工厂,新胜路与曙光路交叉向西 50 米,121.100475,31.250125,工厂,公司企业;农林牧渔基地;其它农林牧渔基地,amap,P00001,traditional_factory,命中传统制造关键词「工厂」,0,1,0,35.5509,outer,0,36.8541,32.7079,39.8173,46.6089,21.8047,37.0783,hongqiao,虹桥,21.8047,far_from_centers,0.0367
沙盘模型工厂,汇德路600号,121.16966,31.389192,工厂,公司企业;工厂;工厂,amap,P00002,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.8536,outer,0,34.6709,33.7989,34.1115,44.7631,25.9263,39.0579,hongqiao,虹桥,25.9263,far_from_centers,0.0254
上海木木与川全屋定制工厂,外岗镇汇德路600号,121.170486,31.388868,工厂,公司企业;工厂;工厂,amap,P00003,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.7679,outer,0,34.5849,33.7163,34.0262,44.6769,25.853,38.9757,hongqiao,虹桥,25.853,far_from_centers,0.0258
多摩仕定制家居工厂,汇旺路1930号,121.172649,31.383276,工厂,公司企业;工厂;工厂,amap,P00005,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.2716,outer,0,34.1046,33.1533,33.6615,44.211,25.2217,38.4064,hongqiao,虹桥,25.2217,far_from_centers,0.0283
卓尔格家居工厂,外冈镇汇旺路1930号5号厂房,121.172818,31.383131,工厂,公司企业;公司;公司,amap,P00006,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.2496,outer,0,34.0828,33.1306,33.6418,44.1894,25.1994,38.3837,hongqiao,虹桥,25.1994,far_from_centers,0.0284
上海穹宇饰全铝家居定制工厂,安亭镇园区路1168号,121.189394,31.316691,工厂,公司企业;工厂;工厂,amap,P00008,industrial_space,命中产业/园区关键词「园区」,0,0,1,28.673,outer,0,29.7312,27.5007,30.9372,39.8915,18.4042,32.586,hongqiao,虹桥,18.4042,far_from_centers,0.0752
超帅创联工厂,嘉行公路3029号,121.24257,31.458022,工厂,公司企业;工厂;工厂,amap,P00009,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.5024,outer,0,33.9061,35.1931,31.0009,43.3077,30.1797,40.435,hongqiao,虹桥,30.1797,far_from_centers,0.0205
宏盛·NORCENT全屋定制生产源头超级工厂,园大路9号宏盛独立园区,121.196225,31.307625,工厂,公司企业;公司;公司,amap,P00010,urban_production,命中城市型生产关键词「定制生产」,1,0,0,27.7348,outer,0,28.8208,26.4291,30.2598,38.966,17.2243,31.4876,hongqiao,虹桥,17.2243,far_from_centers,0.0903
智工厂云仓(上海仓),枫展路1111号万纬物流园,121.051028,30.881722,工厂,公司企业;公司;公司,amap,P00011,traditional_factory,命中传统制造关键词「工厂」,0,1,0,55.895,outer,0,57.3261,50.1458,64.4439,62.3906,43.2648,50.2437,hongqiao,虹桥,43.2648,far_from_centers,0.0013
已隆全屋定制工厂,华博路500号,121.263011,31.456682,工厂,公司企业;工厂;工厂,amap,P00012,traditional_factory,命中传统制造关键词「工厂」,0,1,0,32.1472,outer,0,32.491,34.0848,29.317,41.7573,29.6166,39.2882,wujiaochang,五角场,29.317,far_from_centers,0.025
上海青泰铝方通工厂,崧泽大道6666弄11号1层102室,121.174681,31.17776,工厂,公司企业;工厂;工厂,amap,P00013,traditional_factory,命中传统制造关键词「工厂」,0,1,0,29.0353,outer,0,30.4847,24.9638,35.2378,39.3809,14.0015,28.5429,hongqiao,虹桥,14.0015,far_from_centers,0.1316
克诺诗家具梦工厂,华丹路860号,121.204295,31.2388,工厂,公司企业;工厂;工厂,amap,P00014,ambiguous,命中模糊命名「梦工厂」(可能为园区或商业命名，需人工核验),0,0,0,25.6314,outer,0,26.9554,22.8073,30.3762,36.6608,12.0807,27.3222,hongqiao,虹桥,12.0807,far_from_centers,0.1861
豆腐工厂,纪鹤公路与新协路交叉口西北60米,121.208625,31.247525,工厂,公司企业;公司企业;公司企业,amap,P00015,traditional_factory,命中传统制造关键词「工厂」,0,1,0,25.2733,outer,0,26.57,22.669,29.756,36.368,12.1415,27.297,hongqiao,虹桥,12.1415,far_from_centers,0.1869
系统门窗定制源头工厂直销,徐行镇新建二路18号,121.272923,31.415565,工厂,购物服务;家居建材市场;建材五金市场,amap,P00016,traditional_factory,命中传统制造关键词「五金」,0,1,0,28.065,outer,0,28.5214,29.6632,26.0998,38.0825,24.9497,34.9072,hongqiao,虹桥,24.9497,far_from_centers,0.049
上海安美伦全铝定制工厂,崧秀路与赵巷村路交叉口西南20米,121.189425,31.154375,工厂,购物服务;家居建材市场;家居建材市场,amap,P00017,traditional_factory,命中传统制造关键词「工厂」,0,1,0,28.3308,outer,0,29.8101,23.8394,35.1139,38.27,13.2594,27.0047,hongqiao,虹桥,13.2594,far_from_centers,0.1512
轩谨门窗工厂,宝安公路3718号2楼232,121.268163,31.326946,工厂,生活服务;生活服务场所;生活服务场所,amap,P00018,traditional_factory,命中传统制造关键词「工厂」,0,1,0,22.2886,outer,0,23.1736,22.2248,23.5598,33.3248,15.5027,27.5079,hongqiao,虹桥,15.5027,far_from_centers,0.1549
铝材工厂,上海市嘉定区马陆镇尚学路400号,121.298661,31.352576,工厂,公司企业;工厂;工厂,amap,P00019,traditional_factory,命中传统制造关键词「工厂」,0,1,0,21.4754,outer,0,22.1326,22.4773,21.2219,32.0803,17.6552,27.7619,hongqiao,虹桥,17.6552,far_from_centers,0.145
上海揽瑟制作工厂,和周路与胜竹东路交叉口南100米,121.334175,31.426625,工厂,公司企业;工厂;工厂,amap,P00022,traditional_factory,命中传统制造关键词「工厂」,0,1,0,25.5286,outer,0,25.6966,28.2163,21.9091,34.5787,25.7994,33.2311,wujiaochang,五角场,21.9091,far_from_centers,0.0695
全屋定制家具工厂,马陆镇敬学路169号,121.306675,31.335525,工厂,公司企业;工厂;工厂,amap,P00023,traditional_factory,命中传统制造关键词「工厂」,0,1,0,19.7121,outer,0,20.4383,20.5,20.0711,30.4749,15.6919,25.7927,hongqiao,虹桥,15.6919,far_from_centers,0.1942
贤米玻璃隔断工厂,罗太路591号,121.339469,31.418266,工厂,公司企业;公司企业;公司企业,amap,P00024,traditional_factory,命中传统制造关键词「工厂」,0,1,0,24.4735,outer,0,24.6466,27.1708,20.9416,33.5633,24.9025,32.1786,wujiaochang,五角场,20.9416,far_from_centers,0.0819
西门子工厂自动化工程有限公司,马陆镇宝安公路2601号(上海希望智能制造产业园)9幢,121.319873,31.34501,工厂,公司企业;公司;公司,amap,P00025,industrial_space,命中产业/园区关键词「产业园」,0,0,1,19.3927,outer,0,20.0116,20.6489,19.0622,29.9224,16.6916,25.9066,hongqiao,虹桥,16.6916,far_from_centers,0.1914
上海旭博特系统门窗源头工厂(中国总部),八秀西路1号,121.201083,30.994861,工厂,公司企业;工厂;工厂,amap,P00026,traditional_factory,命中传统制造关键词「工厂」,0,1,0,36.8717,outer,0,38.2928,31.1031,45.5144,43.4979,24.9811,31.2812,hongqiao,虹桥,24.9811,far_from_centers,0.0295
上海朴沐PUMU全屋定制工厂,洞泾镇洞厍路501号A栋2楼,121.252817,31.088222,工厂,公司企业;工厂;工厂,amap,P00027,traditional_factory,命中传统制造关键词「工厂」,0,1,0,26.2999,outer,0,27.7739,20.7593,34.5778,34.338,13.4982,22.1593,hongqiao,虹桥,13.4982,far_from_centers,0.1779
上海天之蓝水晶标工厂,宝祁路855号,121.338772,31.300432,工厂,公司企业;工厂;工厂,amap,P00028,traditional_factory,命中传统制造关键词「工厂」,0,1,0,15.0036,middle,0,15.853,15.5486,16.7193,25.9982,11.8625,20.8406,hongqiao,虹桥,11.8625,far_from_centers,0.3904
悍马培育钻工厂,园庆路268号旭辉in,121.348525,31.313225,工厂,公司企业;公司企业;公司企业,amap,P00029,traditional_factory,命中传统制造关键词「工厂」,0,1,0,15.0449,middle,0,15.7536,16.2099,15.8211,25.7984,13.4241,21.455,hongqiao,虹桥,13.4241,far_from_centers,0.3594
西格玛艺术漆工厂展厅(上海服务中心),茸阳路69号2号楼113号,121.251695,31.04736,工厂,购物服务;家居建材市场;建材五金市场,amap,P00030,traditional_factory,命中传统制造关键词「五金」,0,1,0,29.3374,outer,0,30.7696,23.5967,37.9447,36.3783,17.6648,24.1084,hongqiao,虹桥,17.6648,far_from_centers,0.1003
万福窗帘·源头工厂,洞泾镇同乐路387号106,121.269638,31.090845,工厂,生活服务;生活服务场所;生活服务场所,amap,P00031,traditional_factory,命中传统制造关键词「工厂」,0,1,0,24.8559,outer,0,26.3219,19.2618,33.2349,32.7451,12.5421,20.5506,hongqiao,虹桥,12.5421,far_from_centers,0.2172
小王水果超级工厂,北翟路辅路与东华美路交叉口北340米,121.330525,31.226325,工厂,公司企业;公司企业;公司企业,amap,P00032,traditional_factory,命中传统制造关键词「工厂」,0,1,0,13.6212,middle,0,14.9957,10.9475,19.5151,24.5797,3.622,15.867,hongqiao,虹桥,3.622,center_influence,0.9166
上海超级伸缩雨棚工厂,佳龙路290号,121.388114,31.342005,工厂,公司企业;工厂;工厂,amap,P00033,traditional_factory,命中传统制造关键词「工厂」,0,1,0,14.8374,middle,0,15.087,17.6851,12.7489,24.4331,17.5744,22.5815,wujiaochang,五角场,12.7489,far_from_centers,0.3465
凯辉地毯工厂仓库,涞亭北路451号16幢102甲,121.324886,31.152731,工厂,公司企业;公司;公司,amap,P00034,traditional_factory,命中传统制造关键词「工厂」,0,1,0,16.5819,middle,0,18.0744,11.3663,24.6635,25.6203,4.7075,14.1136,hongqiao,虹桥,4.7075,center_influence,0.7814
富豫移门淋浴房工厂,富联一路19号3号库,121.415259,31.369676,工厂,公司企业;工厂;工厂,amap,P00035,traditional_factory,命中传统制造关键词「工厂」,0,1,0,16.4521,middle,0,16.3438,20.2496,11.9453,24.699,21.4191,24.7798,wujiaochang,五角场,11.9453,far_from_centers,0.297
康杰特(上海)七零一氧舱工厂展示中心,九亭镇伴亭路228号4幢1层102-3室,121.330475,31.138075,工厂,公司企业;公司企业;公司企业,amap,P00036,traditional_factory,命中传统制造关键词「工厂」,0,1,0,17.0595,middle,0,18.5339,11.5666,25.4338,25.5189,6.3895,13.6758,hongqiao,虹桥,6.3895,center_influence,0.6668
硅钢第三智慧工厂,,121.447739,31.410763,工厂,公司企业;工厂;工厂,amap,P00037,traditional_factory,命中传统制造关键词「工厂」,0,1,0,20.2065,outer,0,19.7582,24.7364,13.4768,26.6123,26.8752,28.8304,wujiaochang,五角场,13.4768,far_from_centers,0.1905
上海亚太系统门窗工厂馆,干林路2188号幸福纺织厂内,121.255744,30.826812,工厂,购物服务;家居建材市场;建材五金市场,amap,P00040,traditional_factory,命中传统制造关键词「纺织厂」,0,1,0,49.4494,outer,0,50.6275,43.7634,58.5033,52.4751,41.3922,41.7179,hongqiao,虹桥,41.3922,far_from_centers,0.0031
上海肇民二工厂,秦弯路与钱商大街交叉口东南140米,121.258675,30.778725,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,P00041,traditional_factory,命中传统制造关键词「工厂」,0,1,0,54.2443,outer,0,55.3783,48.6261,63.2863,56.6828,46.6504,46.3125,qiantan,前滩,46.3125,far_from_centers,0.0014
上海恒泰通风管工厂,长兴公路58号,121.334536,30.942227,工厂,公司企业;工厂;工厂,amap,P00043,traditional_factory,命中传统制造关键词「工厂」,0,1,0,34.6756,outer,0,35.8187,29.065,43.7202,37.7397,28.1278,26.8452,qiantan,前滩,26.8452,far_from_centers,0.0336
麦熙广告工厂,罗锦路83号-1号,121.418819,31.123601,工厂,公司企业;公司;广告装饰,amap,P00044,traditional_factory,命中传统制造关键词「工厂」,0,1,0,12.9726,middle,0,14.1557,7.4165,22.0245,18.3477,12.2629,6.0863,qiantan,前滩,6.0863,center_influence,0.9496
雷克萨斯金山工厂,天工路与亭卫公路交叉口东400米,121.353917,30.827411,工厂,公司企业;公司企业;公司企业,amap,P00045,traditional_factory,命中传统制造关键词「工厂」,0,1,0,46.2411,outer,0,47.2328,40.921,55.152,47.3692,40.9869,37.8838,qiantan,前滩,37.8838,far_from_centers,0.0048
温氏工厂直销中心,北泰路与学府路交叉口西南220米,121.320012,30.729517,工厂,公司企业;工厂;工厂,amap,P00046,traditional_factory,命中传统制造关键词「工厂」,0,1,0,57.5906,outer,0,58.5886,52.2375,66.5087,58.5451,51.7483,49.2398,qiantan,前滩,49.2398,far_from_centers,0.0007
上海电气电站设备有限公司汽轮机厂(帝景园西),江川路333号,121.418941,30.998397,工厂,公司企业;工厂;工厂,amap,P00047,traditional_factory,命中传统制造关键词「工厂」,0,1,0,26.319,outer,0,27.2645,21.2068,35.1714,27.8836,23.7757,17.8871,qiantan,前滩,17.8871,far_from_centers,0.122
间质工厂INTERSTITIAL WORKS,龙吴路4221号碳素厂7号路,121.454881,31.087675,工厂,公司企业;公司企业;公司企业,amap,P00048,traditional_factory,命中传统制造关键词「工厂」,0,1,0,15.971,middle,0,16.8315,11.3425,24.7072,18.031,17.4848,7.4054,qiantan,前滩,7.4054,center_influence,0.6226
袁梦家具高端定制工厂,南阳港西路886号8栋,121.341824,30.767978,工厂,公司企业;工厂;工厂,amap,P00049,traditional_factory,命中传统制造关键词「工厂」,0,1,0,52.9331,outer,0,53.9124,47.6285,61.8263,53.7876,47.5151,44.5436,qiantan,前滩,44.5436,far_from_centers,0.0016
美标工厂,西渡沿江路与西闸公路交叉口西北220米,121.436924,30.998793,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,P00050,traditional_factory,命中传统制造关键词「工厂」,0,1,0,25.9904,outer,0,26.861,21.0945,34.7243,26.8967,24.4621,17.4262,qiantan,前滩,17.4262,far_from_centers,0.1272
信广包装(上海)有限公司奉贤工厂,亿松路与扶港路交叉口东300米,121.450225,30.979775,工厂,公司企业;公司;公司,amap,P00052,traditional_factory,命中传统制造关键词「包装」,0,1,0,27.9577,outer,0,28.7588,23.2444,36.5597,28.0968,26.9222,19.3194,qiantan,前滩,19.3194,far_from_centers,0.0918
易格斯新工厂项目部,远东路1600号,121.462675,30.948325,工厂,公司企业;公司企业;公司企业,amap,P00055,traditional_factory,命中传统制造关键词「工厂」,0,1,0,31.3829,outer,0,32.1217,26.8197,39.8471,30.7573,30.5794,22.7143,qiantan,前滩,22.7143,far_from_centers,0.0522
富贵花门窗工厂直营店,浦星公路1969号4楼D8088,121.510425,31.076575,工厂,购物服务;家居建材市场;建材五金市场,amap,P00056,traditional_factory,命中传统制造关键词「五金」,0,1,0,17.4579,middle,0,17.9017,14.2828,25.2807,15.9004,22.3577,9.1458,qiantan,前滩,9.1458,far_from_centers,0.4704
名豪沙发翻新工厂,南桥镇航南公路5639号5699号(靠近环城东路口)奉贤宝龙广场,121.462422,30.930037,工厂,公司企业;工厂;工厂,amap,P00057,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.4162,outer,0,34.1517,28.8433,41.8685,32.6513,32.4057,24.747,qiantan,前滩,24.747,far_from_centers,0.0375
海螺系统门窗工厂直营店(环城南路店),环城南路291号,121.470723,30.906204,工厂,购物服务;家居建材市场;建材五金市场,amap,P00058,traditional_factory,命中传统制造关键词「五金」,0,1,0,36.0501,outer,0,36.7522,31.5558,44.4196,34.8718,35.1469,27.3768,qiantan,前滩,27.3768,far_from_centers,0.0243
上海京瓷电子公司金桥工厂,金桥镇新金桥路2077号,121.628402,31.259329,工厂,公司企业;公司企业;公司企业,amap,P00059,traditional_factory,命中传统制造关键词「工厂」,0,1,0,15.0548,middle,0,13.6072,19.8485,11.8875,7.3299,30.1407,18.9539,zhangjiang,张江,7.3299,center_influence,0.6218
